iter	Passed	Remaining
0	60	60848
1	61	30657
2	61	20576
3	62	15535
4	62	12499
5	63	10482
6	63	9036
7	64	7951
8	64	7103
9	64	6425
10	65	5873
11	65	5414
12	66	5030
13	66	4704
14	67	4417
15	67	4160
16	68	3936
17	68	3740
18	69	3572
19	69	3411
20	70	3268
21	70	3137
22	71	3021
23	71	2909
24	72	2808
25	72	2714
26	73	2630
27	73	2549
28	73	2471
29	74	2400
30	74	2332
31	75	2271
32	75	2213
33	75	2158
34	76	2106
35	77	2061
36	77	2016
37	77	1972
38	78	1930
39	78	1890
40	79	1851
41	79	1815
42	80	1783
43	80	1753
44	81	1722
45	81	1692
46	82	1666
47	82	1640
48	83	1615
49	83	1591
50	84	1566
51	84	1543
52	85	1520
53	85	1498
54	86	1478
55	86	1459
56	87	1440
57	87	1421
58	88	1404
59	88	1390
60	89	1373
61	89	1358
62	90	1343
63	91	1331
64	91	1316
65	92	1302
66	92	1289
67	92	1270
68	93	1256
69	93	1242
70	93	1229
71	94	1217
72	94	1205
73	95	1196
74	96	1186
75	96	1175
76	97	1164
77	97	1154
78	98	1143
79	98	1133
80	99	1129
81	100	1124
82	100	1114
83	101	1104
84	101	1092
85	101	1083
86	102	1071
87	102	1062
88	103	1054
89	103	1048
90	104	1041
91	104	1034
92	105	1028
93	105	1020
94	106	1013
95	106	1006
96	107	999
97	107	993
98	108	986
99	109	982
100	109	977
101	110	968
102	110	963
103	111	957
104	111	951
105	112	946
106	112	941
107	113	937
108	114	933
109	114	927
110	115	922
111	115	916
112	116	911
113	116	905
114	116	899
115	117	892
116	117	887
117	118	883
118	118	877
119	118	872
120	119	867
121	119	862
122	120	855
123	120	851
124	121	847
125	121	843
126	121	837
127	122	831
128	122	827
129	122	822
130	123	818
131	123	814
132	124	809
133	124	805
134	125	801
135	125	797
136	126	793
137	126	789
138	126	785
139	127	781
140	127	778
141	128	774
142	128	770
143	129	768
144	129	764
145	130	760
146	130	757
147	131	754
148	131	750
149	131	747
150	132	744
151	132	741
152	133	737
153	133	734
154	134	731
155	134	729
156	135	725
157	135	723
158	136	720
159	136	717
160	137	714
161	137	711
162	138	708
163	138	706
164	139	704
165	139	701
166	140	699
167	140	697
168	141	694
169	141	691
170	142	689
171	142	686
172	143	684
173	143	682
174	144	679
175	144	676
176	145	674
177	145	671
178	146	669
179	146	667
180	146	663
181	147	660
182	147	658
183	147	655
184	148	653
185	148	651
186	149	648
187	150	648
188	150	646
189	151	644
190	151	642
191	152	640
192	152	638
193	153	636
194	153	634
195	154	634
196	155	633
197	155	631
198	156	629
199	156	627
200	157	625
201	157	623
202	158	621
203	158	620
204	159	618
205	159	616
206	160	614
207	160	612
208	161	611
209	161	608
210	162	607
211	162	605
212	163	603
213	163	601
214	164	599
215	164	597
216	164	595
217	165	593
218	165	591
219	166	589
220	166	587
221	167	585
222	167	584
223	168	582
224	168	580
225	169	578
226	169	577
227	170	575
228	170	573
229	170	572
230	171	570
231	171	568
232	172	568
233	173	566
234	173	565
235	174	563
236	174	561
237	174	560
238	175	558
239	175	556
240	176	554
241	176	553
242	177	551
243	177	550
244	178	548
245	178	547
246	178	545
247	179	544
248	179	542
249	180	540
250	180	539
251	181	537
252	181	536
253	182	534
254	182	533
255	182	531
256	183	530
257	183	528
258	184	527
259	184	526
260	185	524
261	185	523
262	186	522
263	186	520
264	187	519
265	187	518
266	188	516
267	188	515
268	189	514
269	189	512
270	190	511
271	190	509
272	190	508
273	191	507
274	191	505
275	192	504
276	192	503
277	193	501
278	193	500
279	194	499
280	194	498
281	195	496
282	195	495
283	196	494
284	196	493
285	197	491
286	197	490
287	197	489
288	198	488
289	198	487
290	199	485
291	199	484
292	200	483
293	200	482
294	201	480
295	201	479
296	202	478
297	202	477
298	203	476
299	203	475
300	204	474
301	204	473
302	205	471
303	205	470
304	206	469
305	206	468
306	207	467
307	207	466
308	208	465
309	208	464
310	209	463
311	209	461
312	209	460
313	210	459
314	211	459
315	211	458
316	212	457
317	212	456
318	213	455
319	213	453
320	214	452
321	214	451
322	214	450
323	215	449
324	215	448
325	216	447
326	216	446
327	217	445
328	217	444
329	218	443
330	218	442
331	219	441
332	219	440
333	220	439
334	220	438
335	221	437
336	221	436
337	222	435
338	222	434
339	223	433
340	223	432
341	224	431
342	224	430
343	224	428
344	225	427
345	225	426
346	226	425
347	226	425
348	227	423
349	227	422
350	228	422
351	228	421
352	229	420
353	229	419
354	230	418
355	230	417
356	230	415
357	231	414
358	231	413
359	232	412
360	232	411
361	233	411
362	233	410
363	234	409
364	234	408
365	235	407
366	235	406
367	236	405
368	236	404
369	237	403
370	237	402
371	237	401
372	238	400
373	238	399
374	239	398
375	239	398
376	240	397
377	240	396
378	241	395
379	241	394
380	242	393
381	242	392
382	243	391
383	243	391
384	244	390
385	244	389
386	245	388
387	245	387
388	246	386
389	246	385
390	247	384
391	247	384
392	248	383
393	248	382
394	249	381
395	249	381
396	250	380
397	250	379
398	251	378
399	251	377
400	252	376
401	252	375
402	253	374
403	253	374
404	254	373
405	254	372
406	255	371
407	255	370
408	255	369
409	256	368
410	256	367
411	257	367
412	257	366
413	258	365
414	258	364
415	259	363
416	259	362
417	260	362
418	260	361
419	261	360
420	261	360
421	262	359
422	263	359
423	263	358
424	264	357
425	265	357
426	265	356
427	266	355
428	266	355
429	267	354
430	267	353
431	268	352
432	268	351
433	269	351
434	269	350
435	270	349
436	270	348
437	271	348
438	271	347
439	272	346
440	272	345
441	273	344
442	273	344
443	274	343
444	274	342
445	275	341
446	275	341
447	276	340
448	276	339
449	277	338
450	277	338
451	278	337
452	278	336
453	279	335
454	279	335
455	280	334
456	280	333
457	281	332
458	281	331
459	282	331
460	282	330
461	283	329
462	283	328
463	284	328
464	284	327
465	285	326
466	285	326
467	286	325
468	286	324
469	287	323
470	287	322
471	287	322
472	288	321
473	288	320
474	289	319
475	289	319
476	290	318
477	290	317
478	291	317
479	292	316
480	292	315
481	292	314
482	293	314
483	293	313
484	294	312
485	295	312
486	295	311
487	296	310
488	296	309
489	297	309
490	297	308
491	297	307
492	298	306
493	298	306
494	299	305
495	299	304
496	300	304
497	301	303
498	301	302
499	301	301
500	302	301
501	302	300
502	303	299
503	303	298
504	304	298
505	304	297
506	304	296
507	305	295
508	305	294
509	306	294
510	306	293
511	307	292
512	307	292
513	308	291
514	308	290
515	308	289
516	309	289
517	309	288
518	310	287
519	310	286
520	311	286
521	311	285
522	311	284
523	312	283
524	312	283
525	313	282
526	313	281
527	314	280
528	314	280
529	314	279
530	315	278
531	315	277
532	316	277
533	316	276
534	317	275
535	317	275
536	318	274
537	318	273
538	319	273
539	319	272
540	320	271
541	320	270
542	320	270
543	321	269
544	321	268
545	322	267
546	322	267
547	323	266
548	323	265
549	324	265
550	324	264
551	324	263
552	325	263
553	325	262
554	326	261
555	326	260
556	327	260
557	327	259
558	327	258
559	328	258
560	328	257
561	329	256
562	329	255
563	330	255
564	330	254
565	331	253
566	331	253
567	332	252
568	332	251
569	332	251
570	333	250
571	333	249
572	334	249
573	334	248
574	335	247
575	335	247
576	336	246
577	336	245
578	336	244
579	337	244
580	337	243
581	338	242
582	338	242
583	339	241
584	339	240
585	340	240
586	340	239
587	340	238
588	341	238
589	341	237
590	342	236
591	342	236
592	343	235
593	343	234
594	343	234
595	344	233
596	344	232
597	345	232
598	345	231
599	345	230
600	346	229
601	346	229
602	347	228
603	347	228
604	348	227
605	348	226
606	349	226
607	349	225
608	350	224
609	350	224
610	350	223
611	351	222
612	351	222
613	352	221
614	352	220
615	353	220
616	353	219
617	354	218
618	354	218
